准考證號,國文,英文,數學,自然,社會
1,85,80,59,73,89
2,67,77,53,52,80
3,86,75,38,26,76
4,86,53,53,66,76
5,75,69,39,58,78
6,46,49,100,35,78
7,88,43,49,68,80
8,87,34,0,73,69
9,60,0,100,42,87
10,66,43,88,45,72
11,85,40,51,29,72
12,85,77,87,94,73
13,69,58,66,72,70
14,66,100,28,37,81
15,66,50,29,35,78
16,65,48,21,93,77
17,70,70,48,67,84
18,61,57,34,75,68
19,86,19,76,55,73
20,70,80,22,100,97
21,76,66,28,7,88
22,64,68,0,53,76
23,73,100,34,89,96
24,78,52,21,67,72
25,100,81,62,63,85
26,83,32,77,35,74
27,87,100,0,58,73
28,91,92,48,74,76
29,68,18,49,77,69
30,73,55,75,66,69
31,73,76,66,92,79
32,71,51,56,56,90
33,81,33,76,83,60
34,62,51,37,83,73
35,68,95,63,68,70
36,74,57,29,60,68
37,61,75,89,23,74
38,84,67,0,42,90
39,69,55,22,42,76
40,81,93,88,42,77
41,73,21,41,62,79
42,65,73,63,61,79
43,92,53,0,49,71
44,71,29,40,95,77
45,83,74,51,57,73
46,72,100,7,82,80
47,78,81,26,50,86
48,73,25,0,65,71
49,63,91,44,70,88
50,79,62,5,86,78
51,78,34,61,50,82
52,70,8,2,46,67
53,64,100,50,100,90
54,73,32,45,63,83
55,84,96,0,77,77
56,78,70,46,67,89
57,63,98,71,64,72
58,89,56,74,82,83
59,77,65,58,45,68
60,61,60,36,67,80
61,70,41,100,54,87
62,80,97,61,72,77
63,73,20,84,54,72
64,82,86,0,44,88
65,51,100,60,77,80
66,85,86,63,62,72
67,83,100,50,40,92
68,80,36,59,22,72
69,76,64,51,58,80
70,78,71,0,82,55
71,76,28,58,54,91
72,76,78,8,48,76
73,88,14,79,28,81
74,68,55,48,52,75
75,64,100,63,53,84
76,65,59,20,40,74
77,82,100,55,35,83
78,76,58,52,20,87
79,81,49,12,46,75
80,66,60,68,59,79
81,68,55,0,52,79
82,86,66,55,84,90
83,58,100,28,59,68
84,93,72,60,67,92
85,80,64,3,27,68
86,56,100,55,33,83
87,63,60,36,71,67
88,63,48,39,71,96
89,81,97,41,88,82
90,64,93,0,44,91
91,67,62,42,84,73
92,74,22,76,34,94
93,55,55,73,58,74
94,77,78,33,39,76
95,87,43,12,73,67
96,71,58,35,83,81
97,91,60,97,89,95
98,62,51,53,62,70
99,90,75,43,35,91
100,77,28,35,32,71
101,63,88,37,100,70
102,72,27,23,92,75
103,87,73,29,33,85
104,75,79,38,35,80
105,72,82,38,60,66
106,65,68,48,100,81
107,100,5,39,85,76
108,62,83,8,79,71
109,80,94,30,67,71
110,82,67,71,100,85
111,81,16,70,51,87
112,61,80,16,54,93
113,68,100,69,40,86
114,61,79,49,68,87
115,65,96,3,61,81
116,67,100,0,74,78
117,65,72,91,90,82
118,61,27,33,53,86
119,84,57,59,71,76
120,62,52,29,56,71
121,86,60,64,73,88
122,62,29,39,62,72
123,71,72,17,45,70
124,95,96,97,90,69
125,54,50,100,72,81
126,91,76,3,3,73
127,76,100,33,44,88
128,76,53,45,58,67
129,68,100,40,77,95
130,82,79,40,75,92
131,59,100,18,59,84
132,77,95,74,81,84
133,77,50,17,54,75
134,76,43,22,74,85
135,90,61,66,29,72
136,71,82,44,96,88
137,67,36,0,62,63
138,82,56,20,45,73
139,63,66,0,38,82
140,69,100,58,95,87
141,77,95,27,33,80
142,67,45,0,68,78
143,71,45,41,43,87
144,87,100,0,28,83
145,87,72,75,64,80
146,62,31,0,47,77
147,75,70,18,43,81
148,80,39,48,46,92
149,77,32,27,73,73
150,80,74,0,93,57
151,87,8,66,53,78
152,69,52,27,65,75
153,67,47,52,48,80
154,83,100,76,30,75
155,74,44,22,68,82
156,78,70,9,60,83
157,87,29,3,48,97
158,69,74,50,58,92
159,71,71,69,52,83
160,82,95,2,67,74
161,61,59,43,53,86
162,72,65,23,35,69
163,59,18,63,47,78
164,75,72,33,78,84
165,75,67,13,78,84
166,76,93,45,35,92
167,70,76,50,52,74
168,93,59,2,58,67
169,72,19,60,53,70
170,66,25,12,38,71
171,70,73,62,55,89
172,82,63,11,67,89
173,52,79,96,82,81
174,68,32,9,54,79
175,73,52,47,52,76
176,81,52,0,47,85
177,71,15,63,44,66
178,68,54,22,67,78
179,91,56,72,44,73
180,83,23,25,50,67
181,98,100,10,48,75
182,71,59,31,65,82
183,75,81,45,92,86
184,88,65,32,22,98
185,85,56,6,49,84
186,78,65,10,88,80
187,76,87,68,70,71
188,73,85,31,79,85
189,81,76,38,53,82
190,70,55,0,42,78
191,69,66,60,26,68
192,73,50,72,55,78
193,73,46,90,41,80
194,77,74,42,77,71
195,81,28,36,80,83
196,78,54,33,27,73
197,77,61,52,50,89
198,58,84,50,25,83
199,91,53,38,58,82
200,79,60,59,91,90
201,76,64,47,41,67
202,76,42,93,67,79
203,75,90,12,52,78
204,75,77,66,32,71
205,66,87,23,18,82
206,60,29,88,49,85
207,75,68,14,65,69
208,91,19,62,52,77
