准考證號,國文,英文,數學
5619,87,93,63
4782,70,62,22
5145,87,49,69
6374,69,68,27
8705,76,76,100
679,71,61,36
9980,72,38,76
2107,99,25,66
5860,67,52,7
6071,94,23,75
7311,76,59,44
4120,78,16,64
7223,70,62,7
1184,76,54,0
7822,59,42,69
3188,67,65,13
4762,77,33,40
2709,81,83,0
6852,69,61,52
8921,78,49,15
1514,82,80,75
6656,68,31,36
8906,70,29,62
7950,87,42,36
8564,52,100,44
5926,86,62,59
3715,76,62,0
3430,61,23,52
3624,60,66,19
9658,71,90,23
265,71,100,75
5888,83,39,75
9398,79,70,40
4306,63,81,14
839,75,11,50
8397,83,63,40
4687,76,76,48
9716,79,69,100
2014,57,47,66
4867,82,72,0
8808,71,29,50
5724,93,53,28
6286,80,53,42
2861,85,39,18
1011,82,29,58
4399,75,52,0
1696,77,56,43
4248,65,83,24
4497,80,72,72
5870,80,74,58
6867,63,100,0
3295,67,100,70
6365,68,81,100
9158,76,49,59
1812,87,48,20
1402,52,79,27
8500,67,40,31
5052,64,100,27
3065,81,40,48
2787,78,44,38
9060,56,85,0
2362,66,23,6
1131,79,56,38
9615,75,75,19
9738,82,65,60
4387,67,30,35
3711,74,84,0
3026,54,79,22
597,78,34,57
8909,67,89,53
5224,69,33,21
9076,70,10,18
99,90,75,43
3708,75,66,21
9714,85,61,38
8884,61,11,31
6019,65,36,50
9129,58,58,66
8992,75,43,18
1739,67,98,40
3371,70,70,64
9508,74,46,100
9613,82,50,18
6282,71,66,100
1108,70,91,46
9912,50,95,35
58,89,56,74
6906,87,66,38
6320,77,100,34
1496,56,100,52
2085,64,10,64
5783,65,70,9
5557,77,70,97
2072,58,100,10
805,59,88,29
950,68,39,24
8241,74,69,100
7021,57,67,48
1428,68,56,67
6311,74,80,28
3378,82,16,94
2541,86,46,60
34,62,51,37
2693,83,45,72
5460,95,44,28
2282,76,30,0
1637,58,55,45
3257,60,100,25
8683,67,64,40
4060,97,54,0
2669,82,87,37
6324,78,61,64
684,86,99,5
8293,55,74,55
9867,71,43,66
8329,55,43,55
4730,95,83,0
7528,86,65,46
7784,70,100,73
6006,80,73,5
4058,77,61,0
9562,97,84,24
6871,70,82,37
3156,73,40,70
6391,76,59,64
4869,67,55,77
2329,67,63,50
3228,60,5,57
8091,71,42,56
2899,60,76,28
6545,97,54,24
2523,97,92,19
9255,72,67,36
59,77,65,58
2235,70,48,39
44,71,29,40
1877,71,79,39
6579,74,56,71
120,62,52,29
7615,69,93,2
3662,84,62,60
2132,65,63,62
2240,77,79,0
7149,68,70,95
3546,92,78,68
6904,51,15,51
3792,98,52,0
3562,55,100,2
6027,76,43,38
6703,95,76,63
996,62,77,21
3147,77,89,30
9697,84,38,50
2480,93,99,31
5424,81,32,56
717,89,38,33
2237,87,100,44
4952,73,57,74
7184,62,76,95
8106,79,50,61
4698,77,1,65
1676,67,11,44
8471,57,92,100
9628,76,50,82
4641,70,23,71
2646,58,23,23
455,80,58,58
7466,74,89,58
4743,68,86,37
1725,86,82,36
5139,80,36,0
255,68,91,54
7299,83,57,43
5480,64,70,35
3084,65,57,33
8501,90,71,29
9944,64,20,69
9492,80,100,57
242,64,91,62
1668,68,85,24
8458,93,98,19
2263,82,24,13
2827,69,38,27
8680,81,54,100
7067,61,77,74
6476,80,53,63
8028,87,54,42
2438,60,66,39
2727,71,76,74
4673,87,43,49
5751,71,51,53
1373,68,61,44
2919,71,52,68
5376,72,79,71
1585,54,100,54
8333,83,71,72
4451,79,18,43
698,85,82,82
6225,66,13,40
125,54,50,100
4196,74,56,33
6739,80,40,38
4781,69,50,40
768,76,66,2
9115,91,58,72
5421,73,61,85
105,72,82,38
1179,64,29,12
9092,66,36,28
3163,58,64,67
8799,78,86,32
5212,78,58,0
5032,65,55,23
5934,90,62,50
5405,72,43,61
2703,89,79,51
5819,71,70,26
3237,78,67,36
9044,82,78,52
8904,71,27,12
4700,83,66,25
847,87,58,64
5842,73,66,19
8459,71,94,56
7674,62,70,17
4751,86,35,30
2251,78,63,70
7122,85,86,33
5653,71,80,32
3914,80,57,29
5528,77,44,47
2378,71,74,25
9101,82,71,100
15,66,50,29
5499,62,79,77
5279,83,99,15
4685,79,38,79
7755,61,48,52
5569,82,44,38
6145,69,69,57
1619,80,85,24
6091,100,72,39
330,67,54,100
2367,78,39,79
6637,80,9,0
2468,77,28,69
4175,69,39,9
6341,71,67,65
1343,83,52,73
45,83,74,51
7715,81,100,58
5387,62,87,6
6010,93,68,59
6616,68,100,56
4812,78,100,45
5432,100,71,30
3299,75,29,51
2892,75,72,37
9169,64,90,3
2598,91,100,5
7339,86,67,21
9276,99,55,8
9632,71,19,28
320,73,84,15
7446,71,94,50
2084,62,25,79
5435,76,37,92
9170,64,80,57
3175,70,44,42
9321,67,81,52
1976,87,71,34
4414,57,89,91
8844,64,94,50
5904,92,61,35
8856,74,42,66
5381,69,59,50
8494,89,94,17
5227,66,51,51
1237,65,70,35
1694,79,100,0
8172,88,89,25
4357,73,100,43
2317,77,64,61
9637,85,70,17
52,70,8,2
7118,80,74,59
5815,75,17,59
9586,54,67,53
5459,77,76,100
9578,84,72,65
1569,70,63,34
3763,68,92,24
1415,61,76,0
9660,63,85,68
949,83,88,22
4589,71,99,37
9279,73,46,88
393,67,24,43
516,67,59,57
1650,73,72,28
9977,82,100,100
1308,79,44,50
8111,60,58,71
8350,81,52,62
4079,71,56,0
375,55,39,0
3512,79,75,30
5229,56,13,33
3922,87,63,45
3085,79,82,10
6516,69,46,22
8743,84,94,51
6644,90,83,18
6990,84,86,68
4303,90,43,47
5004,80,88,18
9947,57,43,40
8180,88,85,75
1357,59,67,39
1180,92,28,43
1136,74,100,8
5043,86,93,39
7742,84,89,7
4209,91,61,8
6354,66,23,50
2989,73,36,15
2421,71,59,47
2701,63,28,44
2615,78,71,0
3878,71,56,52
4597,80,83,44
1825,67,69,57
5592,71,68,55
8345,74,41,87
9834,83,70,27
737,65,73,54
7337,70,66,15
7918,75,48,64
2761,65,68,65
570,79,26,74
3172,73,66,26
7890,86,58,68
6497,76,17,40
2024,85,73,88
6721,66,61,0
9937,68,81,65
2017,82,58,39
9576,93,100,16
4513,57,88,26
9216,89,76,72
2682,58,54,84
1672,67,85,43
568,66,50,79
6154,52,22,64
5893,77,63,66
1018,66,54,85
6958,63,28,0
8244,54,96,91
7618,70,59,44
4314,82,88,34
3731,94,73,69
2222,87,55,47
3490,53,63,21
4554,80,81,93
2818,78,73,26
2064,86,0,50
6807,84,100,45
2632,65,84,53
5957,69,96,27
1979,76,80,0
9385,80,46,72
1815,74,74,7
7590,69,77,74
5197,76,100,28
4883,87,81,72
4719,85,88,26
9127,78,31,43
5866,81,59,23
3148,83,41,14
8487,82,100,21
2342,69,67,100
7085,74,44,39
3396,72,53,10
8364,74,0,46
2773,76,80,27
8783,58,59,0
1884,63,100,48
6444,74,100,63
5881,100,72,48
5396,80,100,13
975,76,87,47
5553,86,72,22
1595,77,88,60
1453,83,96,31
3128,79,48,14
8068,72,69,42
9014,73,66,59
5232,100,73,34
8082,82,77,38
7762,79,61,0
6724,81,55,64
858,70,20,17
6934,70,91,32
172,82,63,11
9970,74,36,48
5913,80,43,68
5700,83,79,8
343,62,100,56
8200,64,73,40
2663,74,52,41
2838,80,100,53
3021,65,60,39
3626,86,69,68
2293,80,48,60
4229,79,24,73
6960,62,15,25
3895,68,50,46
4543,83,66,35
8067,81,52,74
68,80,36,59
7280,86,52,72
6814,81,62,48
959,87,80,23
3259,97,64,22
6346,71,42,8
953,77,47,39
5332,70,80,0
1957,87,47,76
5688,75,60,56
2901,79,64,16
405,69,98,62
5163,60,64,3
1988,86,50,0
4847,63,98,58
5749,75,73,96
118,61,27,33
9822,80,62,43
222,75,68,53
1143,82,56,94
5041,64,66,24
589,69,79,5
8006,71,68,62
7396,71,74,50
8868,92,86,55
2592,81,41,28
1154,84,100,67
3166,67,83,21
3255,67,76,33
7111,67,36,17
9417,78,74,28
6573,92,64,45
4126,63,37,69
4925,77,70,42
9026,76,83,26
5589,91,67,78
3207,63,62,36
2488,65,73,49
9200,92,57,46
1523,65,67,56
661,64,65,49
2670,83,100,37
6821,61,100,91
2528,66,71,13
4689,83,72,13
4077,59,62,5
6870,81,77,78
3178,67,0,0
6377,93,45,24
2769,79,92,46
1189,75,33,67
6072,73,87,0
7850,90,89,31
5857,71,22,100
6212,89,63,52
9928,79,84,59
6375,63,31,33
3617,81,54,20
4181,74,59,11
6066,70,83,23
1410,75,78,0
3758,66,77,69
3488,70,45,46
6970,72,64,40
3185,82,100,29
7135,77,87,56
7048,78,78,72
1010,59,57,39
2883,69,38,28
3552,87,41,31
7849,70,35,32
8513,67,46,47
5728,66,46,90
1066,75,46,12
1212,77,100,53
9690,92,36,26
1247,66,67,30
49,63,91,44
1034,85,53,32
6512,71,56,67
7047,73,77,73
8223,62,100,53
5839,75,63,53
1370,77,48,29
3784,69,67,45
9415,82,93,44
778,69,36,14
7096,72,37,28
9984,91,0,0
5637,65,97,56
3346,63,85,56
9457,69,57,34
6191,71,33,60
651,76,100,57
514,60,52,100
4504,77,26,30
2414,74,81,44
8793,69,67,31
6526,64,100,25
3523,89,92,40
1226,92,72,18
7524,85,83,18
8,87,34,0
8206,63,91,60
2262,82,39,75
508,79,38,38
8125,87,52,76
5413,83,86,89
1506,68,16,0
324,83,89,70
824,78,57,17
2604,59,74,63
724,87,53,74
6490,66,67,5
1951,67,99,19
2661,56,67,0
7326,96,76,6
3709,73,46,0
4968,79,60,59
9494,82,58,25
8557,83,80,57
1376,64,82,33
5359,85,68,53
2162,73,58,21
2278,72,81,24
6812,56,60,43
5067,87,43,67
8786,78,25,37
2043,74,100,44
9645,66,87,55
5002,65,49,19
8707,71,34,0
4607,64,92,68
5121,73,56,60
3631,73,48,10
2776,62,80,25
7492,77,68,2
6726,83,80,48
5878,74,75,64
859,83,32,34
3633,53,54,8
4435,82,90,12
6829,63,62,81
614,71,73,56
7701,77,68,12
677,90,78,11
7038,80,92,15
9924,74,90,13
7973,90,73,11
3224,66,48,65
2385,56,28,63
3497,63,100,64
8035,62,86,18
9094,67,85,51
9896,86,21,35
5029,99,44,40
761,72,83,69
9018,88,49,13
4691,67,66,0
1301,49,100,76
5920,66,56,37
4713,65,63,68
7115,73,44,40
9831,69,49,12
1463,88,90,45
9067,74,100,74
9069,74,64,34
5323,79,81,100
2273,59,76,87
368,82,79,70
6850,70,63,53
4205,79,100,9
3740,81,86,65
2099,77,99,28
7113,79,97,27
6930,90,100,84
3859,83,53,1
1007,80,24,36
3642,77,18,64
5360,84,35,48
1945,75,62,6
2969,71,84,43
5737,100,94,30
3450,65,66,45
545,67,82,9
6791,81,53,52
9464,62,73,56
8591,70,43,29
7717,74,87,26
3041,64,62,28
2896,62,56,18
5547,54,72,59
1051,81,63,56
6863,66,100,49
4918,79,92,0
1217,69,61,26
3508,80,44,100
8614,67,100,38
2522,83,74,74
8638,75,75,21
3558,76,64,25
3553,67,74,78
8940,69,82,27
1497,92,36,46
6237,71,86,40
465,81,66,8
1182,80,90,41
4393,94,42,0
3198,79,75,36
7103,87,92,74
1781,79,90,63
7534,81,26,51
7373,100,84,35
8339,63,0,21
9818,67,48,26
350,82,56,13
