准考證號,社會,自然
2044,79,35
5125,74,62
7309,93,45
9840,87,40
7102,85,61
5315,79,55
7413,100,11
8422,76,61
5749,76,39
3967,79,64
8347,63,48
4852,93,100
4733,70,65
8881,64,44
5838,74,40
7044,89,69
1697,87,34
3780,86,44
1604,73,76
218,97,68
60,80,67
7091,81,76
4893,69,72
8432,85,94
3232,75,73
313,76,81
1686,80,36
3636,78,43
3015,82,59
6798,81,30
9032,76,45
7790,72,94
9442,60,70
1051,81,44
8759,80,72
211,80,73
1323,79,44
4436,91,62
1304,100,75
4643,87,88
6976,79,92
2785,86,100
2185,91,87
7504,88,39
5964,76,79
10000,66,10
6862,73,55
883,70,55
3765,78,85
1219,94,36
3080,88,48
4339,71,62
8335,70,53
4815,78,84
6713,82,77
3840,75,53
3050,68,55
7755,83,76
6169,88,57
9493,84,56
6753,78,41
6232,68,51
1508,73,58
8631,87,62
3055,76,80
6693,67,26
8475,99,59
722,86,47
7203,80,57
3571,80,99
5416,93,30
7732,90,18
5005,78,65
637,77,69
5802,80,65
2271,83,65
8069,86,93
2220,75,49
8371,84,95
6227,66,93
2711,73,56
8574,86,39
4963,79,64
3376,67,77
9926,67,61
791,72,81
1069,75,42
9045,77,61
4218,83,68
9157,78,60
1071,91,30
7628,73,89
1965,82,100
9613,92,73
1269,68,71
8003,74,74
876,84,26
3476,85,71
5678,74,84
7795,89,86
2361,78,73
6786,75,89
1874,83,15
4353,98,45
5633,71,76
7893,81,84
6744,84,32
6533,83,58
9478,89,67
3241,75,51
7848,80,70
72,76,48
8505,79,57
1541,84,100
1177,84,85
692,72,78
7471,71,62
5031,71,54
5954,86,58
1431,65,45
8360,84,76
1611,82,67
4652,83,67
7927,67,84
1583,87,56
8283,73,64
9909,82,32
7209,83,70
5694,84,83
8550,87,80
5214,67,61
4939,78,90
326,77,59
5674,72,71
403,75,26
2762,76,57
528,83,75
6435,80,38
422,85,33
3726,84,52
1589,71,26
5561,78,64
4681,77,87
8765,68,45
2227,80,35
1942,83,78
3612,84,62
8958,83,100
9065,69,55
4004,79,45
3555,78,35
5301,84,17
9174,80,92
3337,66,100
2724,74,50
7078,79,64
5567,83,26
567,79,48
6809,75,65
5834,75,73
9079,77,57
8513,70,38
7593,76,100
5067,73,38
9711,84,40
9379,69,65
5939,75,61
6018,80,70
8173,92,30
4189,78,84
8188,75,85
515,74,83
1273,84,70
2783,80,99
2406,74,68
379,80,84
9532,73,52
7400,69,84
6790,86,50
165,84,78
6132,93,64
5712,92,47
8329,72,26
3716,78,23
3435,92,58
5532,73,57
4773,74,86
7976,81,49
2640,82,70
1843,86,73
6202,75,56
1699,84,84
7480,81,90
4813,86,47
5568,85,52
7741,90,37
810,74,38
1110,81,64
8937,93,67
316,79,67
1671,84,76
6457,82,37
9983,81,41
5933,92,58
8600,79,91
8195,75,67
7763,75,79
4395,74,92
296,83,96
2423,83,51
9142,78,87
8203,75,75
291,93,71
5663,82,64
5490,74,50
4296,83,43
4793,79,23
3878,73,51
6566,78,91
8923,91,73
3994,84,68
6642,78,0
6703,79,46
3205,72,39
4680,90,61
5235,87,85
556,80,52
6383,83,63
4053,69,60
8998,74,78
7163,80,69
1641,73,55
6964,69,13
7488,75,76
7458,72,35
9234,70,75
7272,71,77
3250,93,42
2751,79,68
529,67,74
7344,71,92
4294,76,28
492,79,38
7773,70,44
4544,74,78
7298,78,58
5019,90,35
2303,84,93
1915,87,95
1884,93,52
3252,77,43
4594,86,69
9159,78,92
52,67,46
3971,81,43
5432,79,60
67,92,40
2533,78,26
3071,90,90
5943,81,43
4398,76,62
5440,77,47
2473,86,75
9798,80,40
1442,86,52
2931,76,70
5232,80,71
4927,70,80
145,80,64
5040,76,62
9736,89,65
92,94,34
9128,82,60
9002,83,67
2240,81,70
5742,97,43
7843,80,55
5335,86,20
1011,87,53
2141,79,57
498,86,61
3270,76,100
7138,78,50
601,60,75
142,78,68
7381,83,42
3451,83,59
122,72,62
8446,83,27
3998,89,78
5880,77,69
8657,76,56
9915,88,63
6219,66,63
4887,84,49
9,87,42
636,69,64
7077,84,82
425,72,75
5908,88,47
561,86,71
3034,82,32
255,83,73
5393,83,48
691,69,35
3287,77,56
7300,73,76
6691,74,87
8247,95,59
6479,84,58
6685,80,46
8754,70,35
8646,81,47
7500,89,58
2200,69,72
8684,90,77
5711,83,69
9481,82,57
7189,85,30
2891,65,56
1912,67,56
5819,96,83
4352,66,80
6875,73,61
1021,89,54
9609,81,14
2249,62,55
5044,80,59
4522,71,62
270,84,60
8225,69,73
8242,76,34
1652,67,83
6154,77,70
6510,81,42
854,79,56
2720,77,18
2522,81,36
9346,84,89
8751,83,81
8139,70,67
5411,73,29
4086,85,32
3026,77,40
7024,81,44
3798,79,54
9813,81,47
8436,83,45
8474,80,40
7507,88,52
2547,72,88
3420,75,53
667,80,40
4351,86,34
900,82,72
3239,77,54
873,76,50
7185,73,45
3599,73,57
2100,78,62
973,73,75
6945,86,44
6373,88,97
8511,77,61
2828,76,76
421,90,85
7468,91,97
3298,59,30
2202,86,33
5888,76,52
7512,85,33
9722,93,100
524,77,38
3980,92,71
4614,87,86
2717,86,50
1581,63,67
1705,80,41
3143,71,60
5701,82,42
195,83,80
2729,75,90
1578,77,26
926,94,48
1896,87,100
9663,78,31
9216,90,17
1117,89,69
8743,85,64
8598,79,93
7430,82,78
7179,69,51
7534,81,66
8322,79,32
4591,80,42
7754,76,57
3369,64,80
9749,90,61
2739,82,33
2661,72,44
4097,74,55
5514,82,61
1597,81,73
9938,80,94
6171,90,84
5932,72,77
2219,84,9
1616,73,77
7841,73,33
1248,79,93
9375,69,80
7923,85,48
6943,81,75
3928,83,31
1629,97,82
332,83,54
6728,81,68
2728,81,63
6542,88,73
5074,79,76
4691,82,26
249,74,100
3067,67,79
8444,80,84
5260,72,49
9760,80,58
9155,70,45
1532,93,66
555,85,73
9659,82,20
4711,89,100
4150,84,73
6280,74,75
3464,88,85
2894,78,57
604,84,30
2495,76,37
9040,75,71
6177,79,73
9430,72,47
3072,74,52
2458,78,78
1787,87,22
6887,68,35
362,75,50
3310,85,33
